Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2018,24,Carlos Santana,32,PHI,NL,2.0,161,679,560,82,128,28,2,24,86,2,1,110,93,0.229,0.352,0.414,0.766,105.0,0.342,106.0,232,12,1,0,8,6,*35/H,,santaca01
2019,16,Carlos Santana,33,CLE,AL,4.5,158,686,573,110,161,30,1,34,93,4,0,108,108,0.281,0.397,0.515,0.911,136.0,0.386,136.0,295,13,3,0,2,12,*3D,ASMVP-16SS,santaca01
2021,24,Carlos Santana,35,KCR,AL,-0.1,158,659,565,66,121,15,0,19,69,2,0,86,102,0.214,0.319,0.342,0.66,81.0,0.299,81.0,193,12,3,0,5,3,*3D/H,,santaca01
2022,149,Carlos Santana,36,2TM,AL,1.1,131,506,431,52,87,18,0,19,60,0,0,71,88,0.202,0.316,0.376,0.692,100.0,0.308,99.0,162,9,2,0,2,2,3D/H9,,santaca01
2023,59,Carlos Santana,37,2TM,NL,2.7,146,619,550,78,132,33,1,23,86,6,0,65,104,0.24,0.318,0.429,0.747,101.0,0.331,104.0,236,11,0,0,4,0,*3D/H,,santaca01
2024,81,Carlos Santana,38,MIN,AL,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,238.0,328.0,420.0,749.0,109.0,329.0,108.0,219,11,6,0,2,3,*3/HD,GG,santaca01
2016,811,Carson Kelly,21,STL,NL,0.0,10,14,13,1,2,1,0,0,1,0,0,0,2,0.154,0.214,0.231,0.445,20.0,0.27,56.0,3,0,1,0,0,0,2,,kellyca02
2017,551,Carson Kelly,22,STL,NL,-0.4,34,75,69,5,12,3,0,0,6,0,0,5,11,0.174,0.24,0.217,0.457,23.0,0.209,11.0,15,3,1,0,0,0,2H,,kellyca02
2018,694,Carson Kelly,23,STL,NL,-0.4,19,42,35,1,4,0,0,0,3,0,0,3,7,0.114,0.205,0.114,0.319,-9.0,0.162,-29.0,4,0,1,3,0,0,2/H,,kellyca02
2019,259,Carson Kelly,24,ARI,NL,1.7,111,365,314,46,77,19,0,18,47,0,0,48,79,0.245,0.348,0.478,0.826,112.0,0.347,107.0,150,11,2,0,1,10,2H/5,,kellyca02
2021,267,Carson Kelly,26,ARI,NL,2.2,98,359,304,41,73,11,1,13,46,0,0,44,74,0.24,0.343,0.411,0.754,104.0,0.339,108.0,125,10,6,0,5,1,2H,,kellyca02
2022,284,Carson Kelly,27,ARI,NL,0.9,104,354,317,40,67,18,0,7,35,2,0,29,71,0.211,0.282,0.334,0.617,75.0,0.275,70.0,106,10,4,0,4,0,2/H1D,,kellyca02
2023,476,Carson Kelly,28,2TM,2LG,0.1,50,151,136,13,28,5,0,2,13,1,0,14,40,0.206,0.278,0.287,0.565,56.0,0.256,51.0,39,2,0,0,1,0,2/1DH,,kellyca02
2024,274,Carson Kelly,29,2TM,AL,0.5,91,313,281,32,67,9,1,9,37,0,0,25,55,238.0,313.0,374.0,687.0,96.0,305.0,95.0,105,6,6,0,1,0,2/DH,,kellyca02
2023,350,Casey Schmitt,24,SFG,NL,-0.5,90,277,253,28,52,15,0,5,30,2,1,13,65,0.206,0.255,0.324,0.58,60.0,0.256,55.0,82,7,5,3,3,0,654H,,schmica01
2024,442,Casey Schmitt,25,SFG,NL,0.2,40,113,107,11,27,4,1,6,16,0,0,4,25,252.0,283.0,477.0,760.0,114.0,321.0,110.0,51,2,1,0,1,0,46/5HD,,schmica01
2019,201,Cavan Biggio,24,TOR,AL,3.0,100,430,354,66,83,17,2,16,48,14,0,71,123,0.234,0.364,0.429,0.793,113.0,0.357,117.0,152,0,2,0,2,0,4/39DH7,ROY-5,biggica01
2021,332,Cavan Biggio,26,TOR,AL,0.3,79,294,250,27,56,10,1,7,27,3,1,37,78,0.224,0.322,0.356,0.678,84.0,0.298,80.0,89,4,1,1,4,2,59/34HD7,,biggica01
2022,329,Cavan Biggio,27,TOR,AL,1.0,97,303,257,43,52,18,1,6,24,2,0,38,85,0.202,0.318,0.35,0.668,93.0,0.306,95.0,90,2,6,1,1,0,43H/9D75,,biggica01
2023,297,Cavan Biggio,28,TOR,AL,0.8,111,338,289,54,68,12,0,9,40,5,2,40,88,0.235,0.34,0.37,0.71,97.0,0.317,99.0,107,0,7,0,2,0,4H935/D6,,biggica01
2024,351,Cavan Biggio,29,3TM,2LG,0.1,78,224,188,27,37,5,0,5,19,2,0,24,72,197.0,314.0,303.0,617.0,78.0,286.0,80.0,57,1,8,2,0,0,453H9/D,,biggica01
2023,567,Ceddanne Rafaela,22,BOS,AL,0.0,28,89,83,11,20,6,0,2,5,3,1,4,28,0.241,0.281,0.386,0.666,78.0,0.287,70.0,32,2,1,0,1,0,8/H64D,,rafaece01
2024,91,Ceddanne Rafaela,23,BOS,AL,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,246.0,274.0,390.0,664.0,82.0,299.0,85.0,212,8,7,2,3,1,864/5H9,,rafaece01
2018,436,Cedric Mullins,23,BAL,AL,-0.2,45,191,170,23,40,9,0,4,11,2,3,17,37,0.235,0.312,0.359,0.671,86.0,0.296,86.0,61,1,2,2,0,0,8/7H,,mullice01
2019,578,Cedric Mullins,24,BAL,AL,-0.5,22,74,64,7,6,0,2,0,4,1,0,4,14,0.094,0.181,0.156,0.337,-9.0,0.176,-13.0,10,2,3,2,1,0,8/H,,mullice01
2021,14,Cedric Mullins,26,BAL,AL,5.9,159,675,602,91,175,37,5,30,59,30,8,59,125,0.291,0.36,0.518,0.878,137.0,0.378,137.0,312,2,8,1,4,3,*8/HD,ASMVP-9SS,mullice01
2022,17,Cedric Mullins,27,BAL,AL,4.0,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,107.0,0.326,107.0,245,4,9,1,5,2,*8/HD,,mullice01
2023,190,Cedric Mullins,28,BAL,AL,2.8,116,455,404,51,94,23,3,15,74,19,3,43,101,0.233,0.305,0.416,0.721,101.0,0.316,97.0,168,6,1,3,4,1,*8/HD,,mullice01
2024,132,Cedric Mullins,29,BAL,AL,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,234.0,305.0,405.0,710.0,107.0,322.0,107.0,180,1,5,2,2,0,*8H/D,,mullice01
2021,856,Chadwick Tromp,26,SFG,NL,-0.2,9,18,18,1,4,0,0,1,2,0,0,0,4,0.222,0.222,0.389,0.611,62.0,0.256,50.0,7,1,0,0,0,0,/2H,,trompch01
2022,850,Chadwick Tromp,27,ATL,NL,0.2,1,4,4,0,3,2,0,0,3,0,0,0,0,0.75,0.75,1.25,2.0,444.0,0.852,482.0,5,0,0,0,0,0,/2,,trompch01
2023,719,Chadwick Tromp,28,ATL,NL,-0.2,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-17.0,0.133,-40.0,3,0,0,0,0,0,/2,,trompch01
2024,520,Chadwick Tromp,29,ATL,NL,0.2,19,54,52,3,13,6,0,0,6,0,0,1,17,250.0,259.0,365.0,625.0,72.0,282.0,73.0,19,2,0,0,1,0,2,,trompch01
2022,486,Charles Leblanc,26,MIA,NL,0.7,48,169,156,18,41,10,0,4,11,4,2,12,53,0.263,0.32,0.404,0.723,103.0,0.328,108.0,63,0,1,0,0,0,45/3HD,,leblach01
2024,574,Charles Leblanc,28,LAA,AL,0.1,11,28,21,6,4,0,0,2,6,0,0,7,9,190.0,393.0,476.0,869.0,146.0,378.0,145.0,10,0,0,0,0,0,/543D,,leblach01
2015,16,Charlie Blackmon,28,COL,NL,2.0,157,682,614,93,176,31,9,17,58,43,13,46,112,0.287,0.347,0.45,0.797,102.0,0.361,105.0,276,4,13,5,4,2,*87/9H,,blackch02
2016,57,Charlie Blackmon,29,COL,NL,4.6,143,641,578,111,187,35,5,29,82,17,9,43,102,0.324,0.381,0.552,0.933,130.0,0.4,135.0,319,2,13,3,4,4,*8/H,MVP-26SS,blackch02
2017,1,Charlie Blackmon,30,COL,NL,5.5,159,725,644,137,213,35,14,37,104,14,10,65,135,0.331,0.399,0.601,1.0,141.0,0.425,152.0,387,4,10,3,3,9,*8/H,ASMVP-5SS,blackch02
2018,14,Charlie Blackmon,31,COL,NL,1.0,156,696,626,119,182,31,7,29,70,12,4,59,134,0.291,0.358,0.502,0.86,115.0,0.376,118.0,314,10,8,1,2,2,*8/HD,AS,blackch02
2019,51,Charlie Blackmon,32,COL,NL,2.3,140,634,580,112,182,42,7,32,86,2,5,40,104,0.314,0.364,0.576,0.94,125.0,0.393,130.0,334,11,9,0,5,1,*9/HD,AS,blackch02
2021,93,Charlie Blackmon,34,COL,NL,1.0,150,582,514,76,139,25,4,13,78,3,0,54,91,0.27,0.351,0.411,0.761,95.0,0.34,95.0,211,8,11,0,3,1,*9H/D,,blackch02
2022,85,Charlie Blackmon,35,COL,NL,-0.1,135,577,530,60,140,22,6,16,78,4,1,32,109,0.264,0.314,0.419,0.733,96.0,0.322,92.0,222,10,8,4,3,4,D9/H,,blackch02
2023,220,Charlie Blackmon,36,COL,NL,1.3,96,413,359,57,100,24,5,8,40,4,1,39,55,0.279,0.363,0.44,0.803,109.0,0.355,109.0,158,6,11,0,4,0,D9/H,,blackch02
2024,131,Charlie Blackmon,37,COL,NL,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,256.0,329.0,412.0,741.0,100.0,329.0,100.0,185,4,6,0,1,2,D9H/8,,blackch02
2021,295,Chas McCormick,26,HOU,AL,2.3,108,320,284,47,73,12,0,14,50,4,2,25,104,0.257,0.319,0.447,0.766,107.0,0.331,106.0,127,5,4,0,7,0,789H/D,,mccorch01
2022,237,Chas McCormick,27,HOU,AL,1.3,119,407,359,47,88,12,2,14,44,4,3,46,106,0.245,0.332,0.407,0.738,111.0,0.326,111.0,146,5,1,0,1,0,*789/HD,,mccorch01
2023,184,Chas McCormick,28,HOU,AL,3.6,115,457,403,59,110,17,2,22,70,19,6,40,117,0.273,0.353,0.489,0.842,130.0,0.367,132.0,197,3,11,1,2,0,*789/DH,,mccorch01
2024,310,Chas McCormick,29,HOU,AL,-0.6,94,267,242,32,51,6,1,5,27,8,2,17,72,211.0,271.0,306.0,576.0,66.0,274.0,71.0,74,3,4,1,3,0,798/H,,mccorch01
2024,650,Chris Roller,27,MIL,NL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0,0,0,0,0,0,/8H,,rollech01
2015,544,Chris Taylor,24,SEA,AL,-0.8,37,102,94,9,16,3,1,0,1,3,2,6,31,0.17,0.22,0.223,0.443,26.0,0.214,24.0,21,0,0,2,0,0,6/H4D5,,tayloch03
2016,579,Chris Taylor,25,2TM,2LG,0.0,36,65,61,8,13,2,2,1,7,0,0,4,15,0.213,0.262,0.361,0.622,66.0,0.277,62.0,22,3,0,0,0,1,H5/46D,,tayloch03
2017,110,Chris Taylor,26,LAD,NL,4.4,140,568,514,85,148,34,5,21,72,17,4,50,142,0.288,0.354,0.496,0.85,123.0,0.375,130.0,255,2,3,0,1,0,8746H/5,,tayloch03
2018,80,Chris Taylor,27,LAD,NL,4.3,155,604,536,85,136,35,8,17,63,9,6,55,178,0.254,0.331,0.444,0.775,110.0,0.343,112.0,238,5,9,0,4,0,687H4,,tayloch03
2019,213,Chris Taylor,28,LAD,NL,1.5,124,414,366,52,96,29,4,12,52,8,0,37,115,0.262,0.333,0.462,0.794,107.0,0.345,107.0,169,6,4,2,5,3,76H48/59,,tayloch03
2021,94,Chris Taylor,30,LAD,NL,2.5,148,582,507,92,129,25,4,20,73,13,1,63,167,0.254,0.344,0.438,0.782,107.0,0.349,108.0,222,5,8,1,3,2,84765/H9,AS,tayloch03
2022,195,Chris Taylor,31,LAD,NL,0.7,118,454,402,45,89,25,3,10,43,10,1,44,160,0.221,0.304,0.373,0.677,89.0,0.31,90.0,150,4,5,0,3,2,7489/HD56,,tayloch03
2023,252,Chris Taylor,32,LAD,NL,1.4,117,384,338,51,80,15,1,15,56,16,3,41,125,0.237,0.326,0.42,0.746,102.0,0.333,100.0,142,2,4,0,1,2,765H/D84,,tayloch03
2024,327,Chris Taylor,33,LAD,NL,-0.1,87,246,213,28,43,7,1,4,23,5,1,28,76,202.0,298.0,300.0,598.0,73.0,289.0,82.0,64,5,2,1,2,0,754H/8,,tayloch03
2015,467,Christian Bethancourt,23,ATL,NL,-0.1,48,160,155,16,31,8,0,2,12,1,1,5,33,0.2,0.225,0.29,0.515,42.0,0.25,47.0,45,7,0,0,0,1,2/H,,bethach01
2016,408,Christian Bethancourt,24,SDP,NL,-0.1,73,204,193,20,44,9,0,6,25,1,2,10,56,0.228,0.265,0.368,0.633,70.0,0.279,68.0,71,9,0,0,1,0,2H/791D4,,bethach01
2017,861,Christian Bethancourt,25,SDP,NL,-0.1,8,7,7,0,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,-23.0,0.114,-54.0,1,0,0,0,0,0,/H14,,bethach01
2022,305,Christian Bethancourt,30,2TM,AL,1.0,100,333,318,39,80,17,0,11,34,5,1,12,80,0.252,0.283,0.409,0.692,100.0,0.309,101.0,130,6,2,1,0,0,23HD/15,,bethach01
2023,302,Christian Bethancourt,31,TBR,AL,0.7,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,73.0,0.281,74.0,120,6,0,1,3,0,2/H1D,,bethach01
2024,412,Christian Bethancourt,32,2TM,NL,0.3,62,147,139,18,29,7,0,5,22,3,0,5,36,209.0,241.0,367.0,608.0,65.0,278.0,64.0,51,2,1,2,0,0,2/DH,,bethach01
2023,386,Christian Encarnacion-Strand,23,CIN,NL,0.6,63,241,222,29,60,7,0,13,37,2,0,14,69,0.27,0.328,0.477,0.805,112.0,0.353,115.0,106,5,5,0,0,0,3D/5H9,,encarch01
2024,429,Christian Encarnacion-Strand,24,CIN,NL,-1.0,29,123,116,13,22,6,0,2,16,0,0,4,35,190.0,220.0,293.0,513.0,39.0,222.0,25.0,34,4,1,0,2,0,3,,encarch01
2016,430,Christian Vázquez,25,BOS,AL,-0.2,57,184,172,21,39,9,1,1,12,0,0,10,39,0.227,0.277,0.308,0.585,55.0,0.255,41.0,53,3,2,0,0,1,2/HD,,vazquch01
2017,292,Christian Vázquez,26,BOS,AL,0.9,99,345,324,43,94,18,2,5,32,7,2,17,64,0.29,0.33,0.404,0.735,92.0,0.329,93.0,131,14,3,0,1,0,2/5DH,,vazquch01
2018,362,Christian Vázquez,27,BOS,AL,-0.9,80,269,251,24,52,10,0,3,16,4,1,13,41,0.207,0.257,0.283,0.54,46.0,0.246,39.0,71,5,4,1,0,1,2/H5D,,vazquch01
2019,131,Christian Vázquez,28,BOS,AL,2.3,138,521,482,66,133,26,1,23,72,4,2,33,101,0.276,0.32,0.477,0.798,103.0,0.336,99.0,230,17,0,3,3,3,*2HD3/54,,vazquch01
2021,168,Christian Vázquez,30,BOS,AL,1.1,138,498,458,51,118,23,1,6,49,8,4,33,84,0.258,0.308,0.352,0.659,77.0,0.292,74.0,161,15,2,1,4,0,*2/HD453,,vazquch01
2022,217,Christian Vázquez,31,2TM,AL,2.1,119,426,398,41,109,23,0,9,52,1,4,22,69,0.274,0.315,0.399,0.714,99.0,0.311,96.0,159,10,3,0,3,0,2H/34D,,vazquch01
2023,274,Christian Vázquez,32,MIN,AL,-0.3,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.28,0.318,0.598,64.0,0.264,59.0,104,11,1,1,1,1,2/3H4D,,vazquch01
2024,270,Christian Vázquez,33,MIN,AL,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,221.0,248.0,327.0,575.0,60.0,262.0,60.0,96,11,1,5,4,0,2/5DH3,,vazquch01
2015,836,Christian Walker,24,BAL,AL,-0.1,7,12,9,0,1,0,0,0,0,0,0,3,4,0.111,0.333,0.111,0.444,31.0,0.247,41.0,1,0,0,0,0,0,/H3D,,walkech02
2017,791,Christian Walker,26,ARI,NL,0.1,11,15,12,2,3,1,0,2,2,0,0,1,5,0.25,0.4,0.833,1.233,201.0,0.489,203.0,10,0,2,0,0,0,H/3D,,walkech02
2018,652,Christian Walker,27,ARI,NL,-0.2,37,53,49,6,8,2,0,3,6,1,0,3,22,0.163,0.226,0.388,0.614,59.0,0.27,48.0,19,1,1,0,0,0,H/37D,,walkech02
2019,75,Christian Walker,28,ARI,NL,2.8,152,603,529,86,137,26,1,29,73,8,1,67,155,0.259,0.348,0.476,0.825,111.0,0.354,111.0,252,11,6,0,1,6,*3H/D,,walkech02
2021,200,Christian Walker,30,ARI,NL,0.5,115,445,401,55,98,23,1,10,46,0,0,38,106,0.244,0.315,0.382,0.696,88.0,0.307,86.0,153,8,4,0,2,1,3H/D,,walkech02
2022,21,Christian Walker,31,ARI,NL,5.0,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,125.0,0.351,126.0,278,15,8,0,7,2,*3D/H,GG,walkech02
2023,34,Christian Walker,32,ARI,NL,3.8,157,661,582,86,150,36,2,33,103,11,0,62,127,0.258,0.333,0.497,0.83,122.0,0.356,120.0,289,13,8,0,8,3,*3/DH,MVP-23GG,walkech02
2024,102,Christian Walker,33,ARI,NL,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,251.0,335.0,468.0,803.0,121.0,340.0,116.0,224,12,10,0,8,4,*3/H,GG,walkech02
2015,142,Christian Yelich,23,MIA,NL,3.6,126,525,476,63,143,30,2,7,44,16,5,47,101,0.3,0.366,0.416,0.782,118.0,0.353,121.0,198,13,2,0,0,2,*78/H,,yelicch01
2016,46,Christian Yelich,24,MIA,NL,4.9,155,659,578,78,172,38,3,21,98,9,4,72,138,0.298,0.376,0.483,0.859,135.0,0.377,139.0,279,20,4,0,5,4,*78/HD,MVP-19SS,yelicch01
2017,8,Christian Yelich,25,MIA,NL,3.7,156,695,602,100,170,36,2,18,81,16,2,80,137,0.282,0.369,0.439,0.807,120.0,0.357,123.0,264,13,6,0,6,4,*8/H,,yelicch01
2018,40,Christian Yelich,26,MIL,NL,7.3,147,651,574,118,187,34,7,36,110,22,4,68,135,0.326,0.402,0.598,1.0,164.0,0.437,173.0,343,14,7,0,2,2,*798/H,ASMVP-1SS,yelicch01
2019,92,Christian Yelich,27,MIL,NL,7.0,130,580,489,100,161,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,179.0,0.458,182.0,328,8,8,0,3,16,*9/7HD8,ASMVP-2SS,yelicch01
2021,181,Christian Yelich,29,MIL,NL,1.3,117,475,399,70,99,19,2,9,51,9,3,70,113,0.248,0.362,0.373,0.736,101.0,0.332,102.0,149,5,3,0,3,5,7H/D9,,yelicch01
2022,18,Christian Yelich,30,MIL,NL,2.5,154,671,575,99,145,25,4,14,57,19,3,88,162,0.252,0.355,0.383,0.738,109.0,0.335,110.0,220,9,5,1,2,5,*7D/H,,yelicch01
2023,52,Christian Yelich,31,MIL,NL,3.6,144,632,550,106,153,34,1,19,76,28,3,78,140,0.278,0.37,0.447,0.818,123.0,0.366,126.0,246,15,3,0,1,7,*7D/H,,yelicch01
2024,271,Christian Yelich,32,MIL,NL,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,315.0,406.0,504.0,909.0,151.0,404.0,151.0,136,3,2,1,1,3,7D,AS,yelicch01
2022,221,Christopher Morel,23,CHC,NL,1.1,113,425,379,55,89,19,4,16,47,10,7,38,137,0.235,0.308,0.433,0.741,104.0,0.327,106.0,164,6,3,3,2,0,8456/HD7,,morelch01
2023,204,Christopher Morel,24,CHC,NL,1.2,107,429,388,62,96,17,3,26,70,6,2,36,133,0.247,0.313,0.508,0.821,122.0,0.351,115.0,197,7,2,1,2,0,D48/795H6,,morelch01
2024,70,Christopher Morel,25,2TM,2LG,-0.6,152,611,535,56,105,11,3,21,60,8,7,61,159,196.0,288.0,346.0,634.0,80.0,282.0,80.0,185,15,10,0,5,3,5D47/H,,morelch01
2022,673,Chuckie Robinson,27,CIN,NL,-0.5,25,60,59,3,8,2,0,2,5,0,0,0,17,0.136,0.136,0.271,0.407,8.0,0.173,-12.0,16,5,0,1,0,0,2,,robinch04
2024,486,Chuckie Robinson,29,CHW,AL,-0.5,26,76,70,2,9,0,0,0,0,0,0,5,20,129.0,197.0,129.0,326.0,-3.0,171.0,0.0,9,1,1,0,0,0,2/H,,robinch04
2024,537,Coby Mayo,22,BAL,AL,-0.7,17,46,41,4,4,0,0,0,0,0,0,4,22,98.0,196.0,98.0,293.0,-10.0,153.0,-7.0,4,1,1,0,0,0,5/H3,,mayoco01
2017,123,Cody Bellinger,21,LAD,NL,3.9,132,548,480,87,128,26,4,39,97,10,3,64,146,0.267,0.352,0.581,0.933,143.0,0.384,138.0,279,5,1,0,3,13,37/98HD,ASMVP-9ROY-1,bellico01
2018,51,Cody Bellinger,22,LAD,NL,4.2,162,632,557,84,145,28,7,25,76,14,1,69,151,0.26,0.343,0.47,0.814,120.0,0.363,123.0,262,7,3,0,3,9,*38H/97,,bellico01
2019,31,Cody Bellinger,23,LAD,NL,8.6,156,661,558,121,170,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,167.0,0.421,166.0,351,10,3,0,4,21,*938/H,ASMVP-1GGSS,bellico01
2021,274,Cody Bellinger,25,LAD,NL,-1.7,95,350,315,39,52,9,2,10,36,3,1,31,94,0.165,0.24,0.302,0.542,44.0,0.241,34.0,95,2,1,0,3,2,8/9H3,,bellico01
2022,112,Cody Bellinger,26,LAD,NL,1.4,144,550,504,70,106,27,3,19,68,14,3,38,150,0.21,0.265,0.389,0.654,81.0,0.296,80.0,196,7,2,0,6,0,*8/H,,bellico01
2023,103,Cody Bellinger,27,CHC,NL,4.4,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,139.0,0.382,135.0,262,7,5,0,12,3,83/DH,MVP-10SS,bellico01
2024,93,Cody Bellinger,28,CHC,NL,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,266.0,325.0,426.0,751.0,111.0,326.0,108.0,220,10,3,0,5,7,98D3/7,,bellico01
2019,472,Cole Tucker,22,PIT,NL,0.2,56,159,147,16,31,10,3,2,13,0,0,10,40,0.211,0.266,0.361,0.626,63.0,0.265,52.0,53,2,1,1,0,1,6H,,tuckeco01
2021,541,Cole Tucker,24,PIT,NL,-0.5,43,131,117,15,26,4,2,2,12,2,2,13,33,0.222,0.298,0.342,0.64,73.0,0.287,74.0,40,2,0,0,1,0,69H/483,,tuckeco01
2022,663,Cole Tucker,25,PIT,NL,-0.9,18,63,63,3,11,1,1,0,2,1,0,0,25,0.175,0.175,0.222,0.397,12.0,0.178,-2.0,14,1,0,0,0,0,9/46H,,tuckeco01
2023,730,Cole Tucker,26,COL,NL,0.0,5,10,8,2,4,0,0,0,2,0,0,1,2,0.5,0.6,0.5,1.1,193.0,0.492,208.0,4,0,1,0,0,0,/H89D,,tuckeco01
2024,518,Cole Tucker,27,LAA,AL,-0.5,24,57,50,3,9,4,1,0,3,3,1,6,17,180.0,263.0,300.0,563.0,60.0,255.0,55.0,15,0,0,0,1,0,/5D7H1,,tuckeco01
2024,99,Colt Keith,22,DET,AL,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,260.0,309.0,380.0,689.0,96.0,308.0,95.0,196,4,2,0,2,2,*4DH,,keithco01
2023,589,Colton Cowser,23,BAL,AL,-0.8,26,77,61,15,7,2,0,0,4,1,0,13,22,0.115,0.286,0.148,0.433,28.0,0.24,46.0,9,1,2,0,1,0,98/7H,,cowseco01
2024,97,Colton Cowser,24,BAL,AL,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,242.0,321.0,447.0,768.0,123.0,329.0,119.0,223,9,7,0,3,2,*789H/D,ROY-2,cowseco01
2022,678,Conner Capel,25,2TM,2LG,0.1,22,59,52,7,16,0,1,3,11,1,1,5,10,0.308,0.356,0.519,0.875,152.0,0.364,144.0,27,2,0,0,2,0,9/H7D,,capelco01
2023,568,Conner Capel,26,OAK,AL,0.4,32,86,73,6,19,5,0,0,3,5,3,12,25,0.26,0.372,0.329,0.701,102.0,0.316,110.0,24,1,1,0,0,0,97/HD,,capelco01
2024,623,Conner Capel,27,CIN,NL,-0.1,5,8,8,1,2,0,0,0,0,1,0,0,2,250.0,250.0,250.0,500.0,38.0,254.0,27.0,2,0,0,0,0,0,/DH7,,capelco01
2019,834,Connor Joe,26,SFG,NL,-0.1,8,16,15,1,1,0,0,0,0,0,0,1,5,0.067,0.125,0.067,0.192,-46.0,0.099,-65.0,1,1,0,0,0,0,/7H,,joeco01
2021,436,Connor Joe,28,COL,NL,1.6,63,211,179,23,51,9,0,8,35,0,0,26,41,0.285,0.379,0.469,0.848,116.0,0.378,123.0,84,1,3,0,3,0,7H3/D,,joeco01
2022,184,Connor Joe,29,COL,NL,0.8,111,467,404,56,96,20,4,7,28,6,2,55,97,0.238,0.338,0.359,0.697,89.0,0.322,92.0,145,8,7,0,1,0,7D39H,,joeco01
2023,172,Connor Joe,30,PIT,NL,0.7,133,472,413,63,102,31,4,11,42,3,5,50,110,0.247,0.339,0.421,0.76,105.0,0.332,108.0,174,4,8,0,1,0,937H/D,,joeco01
2024,198,Connor Joe,31,PIT,NL,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,228.0,320.0,368.0,688.0,92.0,306.0,92.0,134,7,6,0,2,1,39H/7D,,joeco01
2024,369,Connor Norby,24,2TM,2LG,0.2,45,194,178,32,42,9,0,9,20,3,3,15,64,236.0,294.0,438.0,732.0,98.0,309.0,93.0,78,2,0,0,1,0,54/D,,norbyco01
2021,879,Connor Wong,25,BOS,AL,0.3,6,14,13,3,4,1,1,0,1,0,0,1,7,0.308,0.357,0.538,0.896,135.0,0.44,177.0,7,0,0,0,0,0,/2HD,,wongco01
2022,689,Connor Wong,26,BOS,AL,-0.1,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313,0.585,63.0,0.256,51.0,15,0,1,1,1,0,2/H45D,,wongco01
2023,236,Connor Wong,27,BOS,AL,2.2,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80.0,0.299,78.0,143,4,6,3,1,0,*2H/4D,,wongco01
2024,140,Connor Wong,28,BOS,AL,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,280.0,333.0,425.0,758.0,110.0,327.0,107.0,190,7,9,1,2,1,23DH/47,,wongco01
2022,429,Cooper Hummel,27,ARI,NL,-0.4,66,201,176,20,31,8,3,3,17,4,1,23,64,0.176,0.274,0.307,0.58,65.0,0.268,64.0,54,4,1,0,1,0,7H2D/9,,hummeco01
2023,694,Cooper Hummel,28,SEA,AL,-0.4,10,26,23,2,2,1,0,0,0,1,0,2,9,0.087,0.192,0.13,0.323,-5.0,0.172,-6.0,3,1,1,0,0,0,/DH79,,hummeco01
2024,625,Cooper Hummel,29,HOU,AL,-0.1,6,8,8,0,0,0,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,-100.0,143.0,-42.0,0,1,0,0,0,0,/H7D,,hummeco01
2022,563,Corbin Carroll,21,ARI,NL,1.1,32,115,104,13,27,9,2,4,14,2,1,8,31,0.26,0.33,0.5,0.83,132.0,0.362,134.0,52,1,3,0,0,0,7/8H9D,,carroco02
2023,43,Corbin Carroll,22,ARI,NL,5.4,155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,133.0,0.387,134.0,286,7,13,6,4,1,*798/HD,ASMVP-5ROY-1,carroco02
2024,19,Corbin Carroll,23,ARI,NL,3.4,158,684,589,121,136,22,14,22,74,35,8,73,130,231.0,322.0,428.0,749.0,107.0,333.0,106.0,252,3,10,3,9,0,*89/H,,carroco02
